time,amps,volt
1586375486.142, 2.744467E-01, 1.116170E-01
1586375496.142, 2.772307E-01, 1.118734E-01
1586375506.143, 2.763075E-01, 1.114521E-01
1586375516.143, 2.791828E-01, 1.125146E-01
1586375526.142, 2.797165E-01, 1.127711E-01
1586375536.142, 2.765912E-01, 1.115437E-01
1586375546.142, 2.767931E-01, 1.117085E-01
1586375556.142, 2.796924E-01, 1.127894E-01
1586375566.142, 2.806156E-01, 1.131374E-01
1586375576.142, 2.744179E-01, 1.108292E-01
1586375586.143, 2.856593E-01, 1.150426E-01
1586375596.144, 2.742881E-01, 1.107743E-01
1586375606.142, 2.757690E-01, 1.112689E-01
1586375616.143, 2.771730E-01, 1.118185E-01
1586375626.143, 2.811733E-01, 1.133023E-01
1586375636.142, 2.800434E-01, 1.129359E-01
1586375646.143, 2.797645E-01, 1.128260E-01
1586375656.142, 2.812983E-01, 1.134122E-01
1586375666.143, 2.863084E-01, 1.152624E-01
1586375676.142, 2.951745E-01, 1.185781E-01
1586375686.142, 2.792212E-01, 1.126245E-01
1586375696.142, 2.868180E-01, 1.154090E-01
1586375706.142, 2.871594E-01, 1.155555E-01
1586375716.143, 2.780336E-01, 1.121482E-01
1586375726.142, 2.800963E-01, 1.129359E-01
1586375736.142, 2.835629E-01, 1.142366E-01
1586375746.143, 2.817599E-01, 1.135221E-01
1586375756.142, 2.806925E-01, 1.131924E-01
1586375766.142, 2.786538E-01, 1.124230E-01
1586375776.144, 2.832216E-01, 1.141083E-01
1586375786.144, 2.868084E-01, 1.155189E-01
1586375796.142, 2.773268E-01, 1.118918E-01
1586375806.143, 2.782740E-01, 1.122398E-01
1586375816.144, 2.845101E-01, 1.147129E-01
1586375826.142, 2.752497E-01, 1.111407E-01
1586375836.142, 2.814281E-01, 1.133756E-01
1586375846.144, 2.787981E-01, 1.126062E-01
1586375856.144, 2.785769E-01, 1.118368E-01
1586375866.142, 2.783509E-01, 1.114704E-01
1586375876.142, 2.914049E-01, 1.162150E-01
1586375886.142, 2.748939E-01, 1.095103E-01
1586375896.143, 3.082622E-01, 1.218389E-01
1586375906.142, 2.829571E-01, 1.126245E-01
1586375916.143, 2.774999E-01, 1.106461E-01
1586375926.144, 2.809714E-01, 1.119284E-01
1586375936.142, 2.804521E-01, 1.117452E-01
1586375946.142, 2.773557E-01, 1.104995E-01
1586375956.142, 2.810435E-01, 1.118918E-01
1586375966.142, 2.785000E-01, 1.109392E-01
1586375976.144, 2.775817E-01, 1.105911E-01
1586375986.142, 2.817936E-01, 1.121849E-01
1586375996.142, 3.081131E-01, 1.219305E-01
1586376006.142, 2.789087E-01, 1.110674E-01
1586376016.142, 2.815628E-01, 1.120566E-01
1586376026.142, 2.805242E-01, 1.116902E-01
1586376036.142, 2.813127E-01, 1.120200E-01
1586376046.142, 2.829715E-01, 1.125695E-01
1586376056.143, 2.777884E-01, 1.106461E-01
1586376066.142, 2.784952E-01, 1.109025E-01
1586376076.142, 2.852794E-01, 1.133756E-01
